path,imgversion,imgbasicFlags,imgadvancedFlags,imgwidth,imgheight,imgimageFormat,fileSize
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PICKUPS\PUFF_6.IMG,1.0,Compressed; DisableMipMaps,0,64,64,XRGB,6463
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PICKUPS\PUFF_7.IMG,1.0,Compressed; DisableMipMaps,0,64,64,XRGB,4036
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PRATCAM\ANNA\ABADH.IMG,1.0,DisableCompressInTextureMemory; Compressed; Disable16bit; DisableMipMaps,Huffman,104,660,CLUT8,40365
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PRATCAM\ANNA\ADEADH.IMG,1.0,DisableCompressInTextureMemory; Compressed; Disable16bit; DisableMipMaps,Huffman,104,660,CLUT8,39936
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PRATCAM\ANNA\ADEADXH.IMG,1.0,DisableCompressInTextureMemory; Compressed; Disable16bit; DisableMipMaps,Huffman,104,110,CLUT8,6665
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PRATCAM\ANNA\ADISGUSH.IMG,1.0,DisableCompressInTextureMemory; Compressed; Disable16bit; DisableMipMaps,Huffman,104,550,CLUT8,34495
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PRATCAM\ANNA\ADRIVE1H.IMG,1.0,DisableCompressInTextureMemory; Compressed; Disable16bit; DisableMipMaps,Huffman,104,660,CLUT8,40589
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PRATCAM\ANNA\ADRIVE2H.IMG,1.0,DisableCompressInTextureMemory; Compressed; Disable16bit; DisableMipMaps,Huffman,104,660,CLUT8,40589
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PRATCAM\ANNA\ADRIVE3H.IMG,1.0,DisableCompressInTextureMemory; Compressed; Disable16bit; DisableMipMaps,Huffman,104,440,CLUT8,27734
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PRATCAM\ANNA\AFALLH.IMG,1.0,DisableCompressInTextureMemory; Compressed; Disable16bit; DisableMipMaps,Huffman,104,330,CLUT8,20830
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PRATCAM\ANNA\AGOODH.IMG,1.0,DisableCompressInTextureMemory; Compressed; Disable16bit; DisableMipMaps,Huffman,104,660,CLUT8,40826
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PRATCAM\ANNA\AGRINH.IMG,1.0,DisableCompressInTextureMemory; Compressed; Disable16bit; DisableMipMaps,Huffman,104,660,CLUT8,41362
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PRATCAM\ANNA\AHELMETH.IMG,1.0,DisableCompressInTextureMemory; Compressed; Disable16bit; DisableMipMaps,Huffman,104,660,CLUT8,38026
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PRATCAM\ANNA\AHELMXH.IMG,1.0,DisableCompressInTextureMemory; Compressed; Disable16bit; DisableMipMaps,Huffman,104,110,CLUT8,6811
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PRATCAM\ANNA\AHITB1H.IMG,1.0,DisableCompressInTextureMemory; Compressed; Disable16bit; DisableMipMaps,Huffman,104,220,CLUT8,13634
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PRATCAM\ANNA\AHITB2H.IMG,1.0,DisableCompressInTextureMemory; Compressed; Disable16bit; DisableMipMaps,Huffman,104,440,CLUT8,28427
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PRATCAM\ANNA\AHITB3H.IMG,1.0,DisableCompressInTextureMemory; Compressed; Disable16bit; DisableMipMaps,Huffman,104,660,CLUT8,42671
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PRATCAM\ANNA\AHITF1H.IMG,1.0,DisableCompressInTextureMemory; Compressed; Disable16bit; DisableMipMaps,Huffman,104,220,CLUT8,13798
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PRATCAM\ANNA\AHITF2H.IMG,1.0,DisableCompressInTextureMemory; Compressed; Disable16bit; DisableMipMaps,Huffman,104,660,CLUT8,37064
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PRATCAM\ANNA\AHITF3H.IMG,1.0,DisableCompressInTextureMemory; Compressed; Disable16bit; DisableMipMaps,Huffman,104,660,CLUT8,42325
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PRATCAM\ANNA\AHITL1H.IMG,1.0,DisableCompressInTextureMemory; Compressed; Disable16bit; DisableMipMaps,Huffman,104,440,CLUT8,25002
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PRATCAM\ANNA\AHITL2H.IMG,1.0,DisableCompressInTextureMemory; Compressed; Disable16bit; DisableMipMaps,Huffman,104,440,CLUT8,26767
